hotel_name,missed_lat,missed_lng
Austria Trend Hotel Schloss Wilhelminenberg Wien,48.219560,16.285583
Holiday Inn Paris Montmartre,48.888882,2.333157
Fleming s Selection Hotel Wien City,48.209369,16.353385
Hotel Atlanta,48.220413,16.355811
Maison Albar Hotel Paris Op ra Diamond,48.875273,2.323394
Derag Livinghotel Kaiser Franz Joseph Vienna,48.246021,16.341540
Hotel City Central,48.213588,16.379908
NH Collection Barcelona Podium,41.391551,2.177892
City Hotel Deutschmeister,48.220886,16.366643
Hotel Daniel Vienna,48.188809,16.383790
Roomz Vienna,48.186810,16.420717
Hotel Pension Baron am Schottentor,48.216805,16.359908
Mercure Paris Gare Montparnasse,48.839994,2.323566
Hotel Park Villa,48.233515,16.345653
Hotel Advance,41.383314,2.162847
Renaissance Barcelona Hotel,41.392729,2.167391
Cordial Theaterhotel Wien,48.209547,16.351453
